Category,Description
Document_Writing,Direct the city attorney to prepare an impartial analysis for the upcoming general municipal election.
Document_Writing,Draft the resolution approving the issuance and sale of Thailand's Revenue Refunding Bonds Series 2022.
Document_Writing,Direct the city attorney to prepare an impartial analysis of the charter amendment. | Provide for the filing of primary and rebuttal arguments and set rules for the filing of written arguments.
Document_Writing,Prepare an impartial analysis and provide for the filing of the primary and rebuttal arguments regarding the proposed charter amendment. | Draft resolutions requesting the Board of Supervisors of the County to authorize and order the consolidation of the statewide general municipal election.
Document_Writing,Prepare the final reading of the ordinance amending the Long Beach Municipal Code regarding the Health Care Workers Minimum Wage Ordinance for the next regular meeting.
Meeting_Planning,Schedule the final reading vote for the ordinance on the Health Care Workers Minimum Wage for next week.
Meeting_Planning,Organize the budget hearing and ensure all presentations are heard at once.
Administrative_Communication,Communicate the recommendation to increase appropriation in the general fund for various donations as specified.
Meeting_Planning,Consider supporting the item regarding renaming a section of Channel View Park to Ashley Park.
Administrative_Communication,Gather public outreach and input concerning the proposed renaming of Channel View Park.
Document_Writing,Authorize the City Manager to execute a contract with Home Depot USA for furnishing and delivering materials.
Meeting_Planning,Continue the item to the next meeting date of the 16th.
Document_Writing,Conclude the public hearing regarding an economic subsidy associated with the First Amendment to Sales Tax Incentive Agreement with Ashland Corporation.
Administrative_Communication,Authorize City Manager to execute all necessary documents to implement the agreement with Allen Corporations for the Expanded Circle Port and Aldi dealership.
Document_Writing,Prepare draft language for the charter amendment to be placed on the November ballot.
Administrative_Communication,Notify the city manager to improve the existing PCC model and allocate necessary resources for better staffing and function.
Document_Writing,"Prepare a resolution approving the application of Taiwan City, Taiwan as a sister city."
Meeting_Planning,Host a workshop on August 11th to educate landlords about the housing authority team and housing choice vouchers.
Administrative_Communication,Make an announcement with the specifics of the workshop at the end of the meeting.
Meeting_Planning,Schedule a follow-up meeting to discuss the results of the economic impact study on August 2nd.
Administrative_Communication,Ensure that the economic impact study on the health care minimum wage proposal is completed and ready for review by August 2nd.
